Season,Day,Hour,Count
2013,Wed,19:00,2834
2013,Wed,20:00,1998
2013,Wed,21:00,1486
2013,Wed,22:00,1081
2013,Wed,23:00,575
2013,Thu,0:00,355
2013,Thu,1:00,206
2013,Thu,2:00,158
2013,Thu,3:00,51
2013,Thu,4:00,101
2013,Thu,5:00,247
2013,Thu,6:00,747
2013,Thu,7:00,2252
2013,Thu,8:00,2732
2013,Thu,9:00,1776
2013,Thu,10:00,1661
2013,Thu,11:00,2155
2013,Thu,12:00,2715
2013,Thu,13:00,2401
2013,Thu,14:00,2342
2013,Thu,15:00,2700
2013,Thu,16:00,3747
2013,Thu,17:00,4565
2013,Thu,18:00,3673
2013,Thu,19:00,2762
2013,Thu,20:00,2259
2013,Thu,21:00,1690
2013,Thu,22:00,1304
2013,Thu,23:00,842
2013,Fri,0:00,428
2013,Fri,1:00,211
2013,Fri,2:00,189
2013,Fri,3:00,67
2013,Fri,4:00,95
2013,Fri,5:00,264
2013,Fri,6:00,703
2013,Fri,7:00,2149
2013,Fri,8:00,2497
2013,Fri,9:00,1709
2013,Fri,10:00,1786
2013,Fri,11:00,2563
2013,Fri,12:00,3508
2013,Fri,13:00,3137
2013,Fri,14:00,3055
2013,Fri,15:00,3262
2013,Fri,16:00,3963
2013,Fri,17:00,4321
2013,Fri,18:00,3415
2013,Fri,19:00,2467
2013,Fri,20:00,1879
2013,Fri,21:00,1627
2013,Fri,22:00,1353
2013,Fri,23:00,1000
2013,Sat,0:00,776
2013,Sat,1:00,681
2013,Sat,2:00,651
2013,Sat,3:00,186
2013,Sat,4:00,128
2013,Sat,5:00,124
2013,Sat,6:00,176
2013,Sat,7:00,544
2013,Sat,8:00,961
2013,Sat,9:00,1784
2013,Sat,10:00,2838
2013,Sat,11:00,3750
2013,Sat,12:00,4120
2013,Sat,13:00,4429
2013,Sat,14:00,4732
2013,Sat,15:00,4445
2013,Sat,16:00,4313
2013,Sat,17:00,3887
2013,Sat,18:00,3635
2013,Sat,19:00,2909
2013,Sat,20:00,2394
2013,Sat,21:00,2086
2013,Sat,22:00,1628
2013,Sat,23:00,1240
2013,Sun,0:00,895
2013,Sun,1:00,729
2013,Sun,2:00,680
2013,Sun,3:00,207
2013,Sun,4:00,121
2013,Sun,5:00,183
2013,Sun,6:00,214
2013,Sun,7:00,413
2013,Sun,8:00,837
2013,Sun,9:00,1456
2013,Sun,10:00,2568
2013,Sun,11:00,3434
2013,Sun,12:00,3995
2013,Sun,13:00,4407
2013,Sun,14:00,4777
2013,Sun,15:00,4675
2013,Sun,16:00,4443
2013,Sun,17:00,3772
2013,Sun,18:00,3217
2013,Sun,19:00,2426
2013,Sun,20:00,1846
2013,Sun,21:00,1289
2013,Sun,22:00,773
2013,Sun,23:00,474
2014,Mon,0:00,390
2014,Mon,1:00,248
2014,Mon,2:00,161
2014,Mon,3:00,75
